condition,family,seed,planner,event_target,route,path_length,route_risk,all_returnable,min_recoverability,mean_recoverability,terminal_recoverability,commitment_loss,maximum_single_step_loss,bottleneck_exposure,fragility_penalty,event_blocks_route,mission_success,objective_value
risk_resilient,open,20,J2_recoverability,none,resilient,36,4.025107041934867,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,20,J3_joint,none,fragile,36,3.171797799028003,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.41325327785736
risk_resilient,open,21,J0_shortest,none,fragile,36,3.2181344221788044,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,21,J1_risk,none,fragile,36,3.2181344221788044,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,100.36268844357609
risk_resilient,open,21,J2_recoverability,none,resilient,36,4.050165919951168,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,21,J3_joint,none,fragile,36,3.2181344221788044,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,131.3399857408734
risk_resilient,open,22,J0_shortest,fragile,fragile,36,3.2424160621321034,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
risk_resilient,open,22,J1_risk,fragile,fragile,36,3.2424160621321034,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,100.84832124264207
risk_resilient,open,22,J2_recoverability,fragile,resilient,36,4.129043094392076,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,22,J3_joint,fragile,fragile,36,3.2424160621321034,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,131.82561853993937
risk_resilient,open,23,J0_shortest,resilient,fragile,36,3.180216657340406,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,23,J1_risk,resilient,fragile,36,3.180216657340406,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.60433314680812
risk_resilient,open,23,J2_recoverability,resilient,resilient,36,4.084272785710097,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,23,J3_joint,resilient,fragile,36,3.180216657340406,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.58163044410543
risk_resilient,open,24,J0_shortest,resilient,fragile,36,3.182170392176281,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,24,J1_risk,resilient,fragile,36,3.182170392176281,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.64340784352562
risk_resilient,open,24,J2_recoverability,resilient,resilient,36,4.051311718704962,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,24,J3_joint,resilient,fragile,36,3.182170392176281,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.62070514082293
risk_resilient,open,25,J0_shortest,fragile,fragile,36,3.229404190959382,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
risk_resilient,open,25,J1_risk,fragile,fragile,36,3.229404190959382,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,100.58808381918763
risk_resilient,open,25,J2_recoverability,fragile,resilient,36,4.107226736594066,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,25,J3_joint,fragile,fragile,36,3.229404190959382,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,131.56538111648493
risk_resilient,open,26,J0_shortest,none,fragile,36,3.172492828178036,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,26,J1_risk,none,fragile,36,3.172492828178036,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.44985656356073
risk_resilient,open,26,J2_recoverability,none,resilient,36,4.05940127938086,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,26,J3_joint,none,fragile,36,3.172492828178036,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.42715386085803
risk_resilient,open,27,J0_shortest,resilient,fragile,36,3.171903724625374,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,27,J1_risk,resilient,fragile,36,3.171903724625374,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.43807449250747
