cell_id_cov,row_cov,col_cov,center_x_cov,center_z_cov,covered,idx,cell_id_unc,row_unc,col_unc,center_x_unc,center_z_unc,feature_density_norm,uncertainty,priority
716,23,3,-20.046348278625445,-9.832993293053043,0,716,716,23,3,-20.046348278625445,-9.832993293053043,0.0,1.0,1.5
717,23,4,-19.046348278625445,-9.832993293053043,0,717,717,23,4,-19.046348278625445,-9.832993293053043,0.0,1.0,1.5
718,23,5,-18.046348278625445,-9.832993293053043,0,718,718,23,5,-18.046348278625445,-9.832993293053043,0.0,1.0,1.5
719,23,6,-17.046348278625445,-9.832993293053043,0,719,719,23,6,-17.046348278625445,-9.832993293053043,0.0,1.0,1.5
720,23,7,-16.046348278625445,-9.832993293053043,0,720,720,23,7,-16.046348278625445,-9.832993293053043,0.0,1.0,1.5
721,23,8,-15.046348278625445,-9.832993293053043,0,721,721,23,8,-15.046348278625445,-9.832993293053043,0.0,1.0,1.5
722,23,9,-14.046348278625445,-9.832993293053043,0,722,722,23,9,-14.046348278625445,-9.832993293053043,0.0,1.0,1.5
723,23,10,-13.046348278625445,-9.832993293053043,0,723,723,23,10,-13.046348278625445,-9.832993293053043,0.0,1.0,1.5
724,23,11,-12.046348278625445,-9.832993293053043,0,724,724,23,11,-12.046348278625445,-9.832993293053043,0.0,1.0,1.5
725,23,12,-11.046348278625445,-9.832993293053043,0,725,725,23,12,-11.046348278625445,-9.832993293053043,0.0,1.0,1.5
726,23,13,-10.046348278625445,-9.832993293053043,0,726,726,23,13,-10.046348278625445,-9.832993293053043,0.0,1.0,1.5
727,23,14,-9.046348278625445,-9.832993293053043,0,727,727,23,14,-9.046348278625445,-9.832993293053043,0.0,1.0,1.5
728,23,15,-8.046348278625445,-9.832993293053043,0,728,728,23,15,-8.046348278625445,-9.832993293053043,0.0,1.0,1.5
729,23,16,-7.0463482786254446,-9.832993293053043,0,729,729,23,16,-7.0463482786254446,-9.832993293053043,0.0,1.0,1.5
730,23,17,-6.0463482786254446,-9.832993293053043,0,730,730,23,17,-6.0463482786254446,-9.832993293053043,0.0,1.0,1.5
731,23,18,-5.0463482786254446,-9.832993293053043,0,731,731,23,18,-5.0463482786254446,-9.832993293053043,0.0,1.0,1.5
732,23,19,-4.0463482786254446,-9.832993293053043,1,732,732,23,19,-4.0463482786254446,-9.832993293053043,0.0,1.0,0.5
735,23,22,-1.0463482786254446,-9.832993293053043,1,735,735,23,22,-1.0463482786254446,-9.832993293053043,0.0,1.0,0.5
736,23,23,-0.0463482786254445,-9.832993293053043,0,736,736,23,23,-0.0463482786254445,-9.832993293053043,0.0,1.0,1.5
